Customer ID,avgSpent,Nsessions,Max,Min,DistinctItem,avgItemSession,MaxSessionsMonth,MeanTimeGap
12346.0,31.22666666666667,6,142.31,4.5,25,7.333333333333333,6,33.0
12348.0,8.295,2,14.39,2.2,20,234.5,12,80.0
12351.0,36.71,1,36.71,36.71,20,260.0,11,0.0
12352.0,20.925,2,29.4,12.45,17,93.5,12,12.0
12353.0,38.78,1,38.78,38.78,20,192.0,10,0.0
12355.0,39.98333333333333,6,103.7,8.5,70,110.16666666666669,10,49.0
12356.0,29.816666666666663,3,40.13,11.45,46,207.3333333333333,11,7.0
12358.0,48.17,2,75.74000000000001,20.6,32,148.5,11,146.0
12359.0,61.355,4,69.39,42.85,69,121.0,10,67.0
12360.0,38.77333333333333,3,67.07,14.6,68,329.0,12,146.0
12361.0,11.3,3,13.5,8.25,13,47.0,9,111.0
12368.0,30.7,1,30.7,30.7,10,146.0,3,0.0
12370.0,55.818,5,188.38,3.2,106,180.8,12,66.75
12371.0,100.61666666666667,3,201.02,35.17,90,278.6666666666667,10,103.0
12373.0,40.6,2,42.15,39.05,29,156.5,4,8.0
12374.0,42.0,2,49.0,35.0,34,297.5,10,167.0
12376.0,18.55,1,18.55,18.55,7,57.0,10,0.0
12379.0,40.475,2,45.11,35.84,35,200.5,10,112.0
12386.0,21.45,1,21.45,21.45,7,94.0,8,0.0
12387.0,7.91,1,7.91,7.91,8,132.0,10,0.0
12388.0,66.89500000000001,2,71.42,62.370000000000005,36,251.5,9,107.0
12389.0,38.62,3,51.26,15.6,40,188.0,5,49.5
12391.0,96.6525,4,167.81,19.05,139,199.75,4,34.0
12392.0,16.35,1,16.35,16.35,5,69.0,4,0.0
12393.0,41.25,2,48.4,34.1,35,216.0,11,135.0
12395.0,41.164,5,105.77,7.1,85,233.2,12,78.0
12399.0,16.62666666666667,3,20.05,14.69,31,175.0,11,100.0
12400.0,32.05,1,32.05,32.05,11,91.0,10,0.0
12402.0,21.48,5,26.6,13.95,38,96.6,12,59.25
12403.0,3.75,1,3.75,3.75,1,18.0,6,0.0
12406.0,45.423333333333325,3,67.03,19.1,35,243.3333333333333,11,96.5
12408.0,26.593333333333334,3,42.37,17.97,36,179.0,11,56.5
12410.0,27.37,1,27.37,27.37,12,126.0,7,0.0
12411.0,64.75,1,64.75,64.75,21,132.0,10,0.0
12412.0,30.506666666666664,3,42.64,7.16,42,268.6666666666667,9,104.5
12413.0,38.15,1,38.15,38.15,7,25.0,2,0.0
12414.0,3.12,1,3.12,3.12,5,120.0,2,0.0
