Customer ID,TotItem,avgSpent,Nsessions,TotSpent,Max,Min,DistinctItem
12346.0,26,3.8,5,19.0,4.5,1.0,2
12358.0,91,35.89,1,35.89,35.89,35.89,9
12359.0,194,48.57,2,97.14,96.29,0.85,28
12417.0,149,23.575,2,47.15,46.3,0.85,17
12422.0,60,6.6499999999999995,1,6.6499999999999995,6.6499999999999995,6.6499999999999995,5
12437.0,260,73.07000000000001,1,73.07000000000001,73.07000000000001,73.07000000000001,26
12439.0,438,193.67000000000002,1,193.67000000000002,193.67000000000002,193.67000000000002,61
12440.0,251,45.61,1,45.61,45.61,45.61,19
12443.0,170,39.33,1,39.33,39.33,39.33,16
12455.0,491,294.84000000000003,1,294.84000000000003,294.84000000000003,294.84000000000003,78
12471.0,1216,42.65571428571429,7,298.59,71.15,6.75,50
12472.0,850,98.98,1,98.98,98.98,98.98,63
12490.0,246,41.94,1,41.94,41.94,41.94,19
12510.0,116,34.15,1,34.15,34.15,34.15,11
12523.0,26,8.74,1,8.74,8.74,8.74,3
12533.0,472,101.13,1,101.13,101.13,101.13,41
12539.0,1888,191.285,2,382.57,192.01,190.56,89
12540.0,60,20.75,1,20.75,20.75,20.75,5
12577.0,77,37.4,1,37.4,37.4,37.4,12
12583.0,260,44.78,1,44.78,44.78,44.78,18
12586.0,148,50.55,1,50.55,50.55,50.55,17
12600.0,63,13.385,2,26.77,14.45,12.32,6
12609.0,132,48.0,1,48.0,48.0,48.0,16
12613.0,597,137.69,1,137.69,137.69,137.69,57
12664.0,24,3.75,1,3.75,3.75,3.75,1
12681.0,428,82.38,1,82.38,82.38,82.38,38
12682.0,409,43.36333333333334,3,130.09,56.95,23.5,36
12683.0,908,40.415,2,80.83,63.33,17.5,54
12708.0,89,29.34,1,29.34,29.34,29.34,12
12709.0,216,28.759999999999998,1,28.759999999999998,28.759999999999998,28.759999999999998,11
12712.0,192,42.14,1,42.14,42.14,42.14,19
12714.0,210,75.03,1,75.03,75.03,75.03,21
12747.0,141,34.76666666666667,3,104.3,52.25,19.85,15
12748.0,436,29.26,6,175.56,65.17,1.25,68
12758.0,881,172.6,1,172.6,172.6,172.6,66
12759.0,228,44.15,1,44.15,44.15,44.15,19
12779.0,266,40.18,1,40.18,40.18,40.18,22
12785.0,108,47.0,1,47.0,47.0,47.0,16
12820.0,50,12.3,1,12.3,12.3,12.3,4
12826.0,96,15.75,1,15.75,15.75,15.75,5
12835.0,394,62.470000000000006,5,312.35,89.89,34.85,63
12836.0,83,79.74,1,79.74,79.74,79.74,23
12839.0,508,28.963333333333335,3,86.89,33.78,24.41,37
12842.0,48,3.8000000000000003,1,3.8000000000000003,3.8000000000000003,3.8000000000000003,2
12843.0,47,35.76,1,35.76,35.76,35.76,22
12854.0,303,114.69,1,114.69,114.69,114.69,42
12867.0,232,55.82,1,55.82,55.82,55.82,36
12872.0,227,92.49,1,92.49,92.49,92.49,42
12913.0,72,10.09,1,10.09,10.09,10.09,3
12917.0,10,0.85,1,0.85,0.85,0.85,1
12920.0,58,10.75,2,21.5,19.4,2.1,7
12921.0,919,33.46,4,133.84,61.58,5.25,42
12924.0,123,9.016666666666667,3,27.05,15.45,2.95,10
12926.0,174,209.66,1,209.66,209.66,209.66,87
12933.0,63,68.31,1,68.31,68.31,68.31,23
12937.0,187,26.965000000000003,2,53.93,36.730000000000004,17.2,26
12941.0,249,42.83,1,42.83,42.83,42.83,24
12948.0,68,5.55,2,11.1,9.85,1.25,5
12949.0,668,161.97,1,161.97,161.97,161.97,55
12956.0,170,15.350000000000001,2,30.7,20.55,10.15,14
12957.0,522,105.21000000000001,1,105.21000000000001,105.21000000000001,105.21000000000001,44
12970.0,172,153.73,1,153.73,153.73,153.73,70
12975.0,114,105.59,1,105.59,105.59,105.59,22
12978.0,406,142.14000000000001,1,142.14000000000001,142.14000000000001,142.14000000000001,54
12979.0,231,109.61,1,109.61,109.61,109.61,50
12989.0,66,12.65,1,12.65,12.65,12.65,3
12992.0,21,27.3,1,27.3,27.3,27.3,6
13000.0,166,106.4,1,106.4,106.4,106.4,29
13001.0,401,216.26,1,216.26,216.26,216.26,82
13004.0,144,53.870000000000005,1,53.870000000000005,53.870000000000005,53.870000000000005,18
13008.0,75,34.49,1,34.49,34.49,34.49,11
13013.0,346,83.07000000000001,1,83.07000000000001,83.07000000000001,83.07000000000001,27
13019.0,130,38.474999999999994,2,76.95,44.4,32.55,19
13021.0,136,28.1,1,28.1,28.1,28.1,12
13025.0,97,25.75,1,25.75,25.75,25.75,10
13026.0,244,34.93,1,34.93,34.93,34.93,21
13037.0,159,44.18,1,44.18,44.18,44.18,19
13039.0,45,19.75,1,19.75,19.75,19.75,5
13042.0,439,163.15,1,163.15,163.15,163.15,73
13047.0,94,25.950000000000003,1,25.950000000000003,25.950000000000003,25.950000000000003,9
13050.0,135,51.79,1,51.79,51.79,51.79,18
13070.0,76,16.6,1,16.6,16.6,16.6,8
13074.0,88,28.6,1,28.6,28.6,28.6,10
13077.0,300,50.215,2,100.42999999999999,73.44,26.990000000000002,49
13078.0,608,35.345,4,141.38,62.38,24.44,30
13081.0,937,149.8,1,149.8,149.8,149.8,65
13082.0,18,1.805,2,3.61,2.55,1.06,2
13085.0,328,21.7375,4,86.95,32.45,10.5,18
13087.0,76,44.620000000000005,1,44.620000000000005,44.620000000000005,44.620000000000005,11
13089.0,608,22.834000000000003,5,114.17,73.48,4.2,28
13091.0,146,25.45,1,25.45,25.45,25.45,11
13093.0,112,12.67,2,25.34,15.14,10.2,6
13097.0,521,87.32666666666667,3,261.98,178.88,19.0,81
13110.0,80,101.29,1,101.29,101.29,101.29,23
13111.0,132,23.45,1,23.45,23.45,23.45,11
13114.0,71,50.89,1,50.89,50.89,50.89,13
13136.0,249,70.85,1,70.85,70.85,70.85,26
13141.0,91,35.05,1,35.05,35.05,35.05,11
13148.0,100,75.7,1,75.7,75.7,75.7,20
13154.0,152,60.15,1,60.15,60.15,60.15,18
13162.0,385,40.870000000000005,2,81.74000000000001,45.74,36.0,23
13173.0,110,35.15,1,35.15,35.15,35.15,11
13174.0,245,139.57,1,139.57,139.57,139.57,42
13175.0,200,39.75,1,39.75,39.75,39.75,19
13178.0,538,61.75,1,61.75,61.75,61.75,39
13190.0,58,10.0,1,10.0,10.0,10.0,4
13202.0,104,22.55,1,22.55,22.55,22.55,7
13203.0,162,28.740000000000002,1,28.740000000000002,28.740000000000002,28.740000000000002,14
13204.0,412,128.03,1,128.03,128.03,128.03,48
13206.0,1336,96.19333333333333,3,288.58,148.57,30.95,132
13208.0,56,39.45,1,39.45,39.45,39.45,16
13211.0,62,24.54,1,24.54,24.54,24.54,14
13225.0,338,40.95,1,40.95,40.95,40.95,15
13234.0,116,117.28,1,117.28,117.28,117.28,44
13266.0,140,27.17,1,27.17,27.17,27.17,10
13267.0,223,37.125,2,74.25,48.370000000000005,25.88,21
13269.0,244,10.219999999999999,3,30.66,20.31,3.4,18
13289.0,113,44.35,1,44.35,44.35,44.35,14
13313.0,218,17.615,2,35.23,35.04,0.19,17
13317.0,228,62.53,1,62.53,62.53,62.53,23
13319.0,455,36.71666666666666,3,110.15,67.1,5.45,34
13327.0,352,76.08,1,76.08,76.08,76.08,32
13329.0,237,24.72,1,24.72,24.72,24.72,17
13373.0,258,93.34,1,93.34,93.34,93.34,32
13381.0,12,1.45,1,1.45,1.45,1.45,1
13382.0,118,40.67,1,40.67,40.67,40.67,14
13393.0,161,24.295,2,48.589999999999996,43.92,4.67,11
13394.0,165,33.22,1,33.22,33.22,33.22,15
13403.0,44,7.1,1,7.1,7.1,7.1,3
13405.0,6,4.25,1,4.25,4.25,4.25,1
13408.0,365,8.685,6,52.11,24.41,0.85,18
13415.0,215,156.9,1,156.9,156.9,156.9,68
13416.0,66,23.450000000000003,1,23.450000000000003,23.450000000000003,23.450000000000003,7
13418.0,152,32.1,1,32.1,32.1,32.1,12
13426.0,413,22.15,2,44.3,24.05,20.25,30
13427.0,96,6.1,1,6.1,6.1,6.1,6
13442.0,39,59.0,1,59.0,59.0,59.0,14
13448.0,518,85.18,2,170.36,143.46,26.9,62
13455.0,121,33.835,2,67.67,54.1,13.57,19
13457.0,68,9.85,1,9.85,9.85,9.85,6
13462.0,140,15.46,1,15.46,15.46,15.46,12
13468.0,377,34.95666666666667,3,104.87,47.54,17.740000000000002,36
13473.0,50,21.15,1,21.15,21.15,21.15,5
13481.0,114,41.7,1,41.7,41.7,41.7,14
13485.0,99,13.775,2,27.55,20.6,6.95,10
13487.0,25,36.2,1,36.2,36.2,36.2,6
13491.0,338,35.196666666666665,3,105.59,45.2,29.59,27
13495.0,281,20.525,2,41.05,22.75,18.3,14
13498.0,121,23.3,1,23.3,23.3,23.3,11
13510.0,135,49.77,1,49.77,49.77,49.77,15
13520.0,181,36.27,1,36.27,36.27,36.27,13
13526.0,338,18.42,2,36.84,23.34,13.5,17
13531.0,126,55.85,1,55.85,55.85,55.85,15
13542.0,71,80.045,2,160.09,85.84,74.25,18
13557.0,190,36.95,2,73.9,52.0,21.9,20
13564.0,268,61.692499999999995,4,246.77,136.53,1.65,57
13571.0,28,38.550000000000004,1,38.550000000000004,38.550000000000004,38.550000000000004,11
13576.0,72,12.18,1,12.18,12.18,12.18,5
13577.0,187,23.11,3,69.33,47.44,6.75,21
13589.0,65,20.85,1,20.85,20.85,20.85,8
13590.0,154,55.5,1,55.5,55.5,55.5,19
13599.0,416,31.529999999999998,2,63.06,36.8,26.259999999999998,34
13611.0,227,44.59,1,44.59,44.59,44.59,20
13623.0,129,155.16,1,155.16,155.16,155.16,55
13635.0,429,44.364999999999995,2,88.73,45.69,43.04,37
13641.0,264,16.16,3,48.48,26.9,6.3999999999999995,24
13643.0,80,21.5,1,21.5,21.5,21.5,8
13648.0,131,31.5,1,31.5,31.5,31.5,13
13654.0,90,15.26,1,15.26,15.26,15.26,8
13666.0,1,6.75,1,6.75,6.75,6.75,1
13668.0,50,39.7,1,39.7,39.7,39.7,6
13672.0,81,40.89,1,40.89,40.89,40.89,12
13679.0,34,74.05,1,74.05,74.05,74.05,21
13680.0,788,127.42999999999999,3,382.29,128.57,125.69,104
13693.0,194,30.883333333333336,3,92.65,42.0,17.150000000000002,27
13694.0,427,17.1,2,34.2,30.25,3.95,18
13711.0,22,34.1,1,34.1,34.1,34.1,6
13727.0,10,17.8,1,17.8,17.8,17.8,4
13728.0,44,31.65,1,31.65,31.65,31.65,7
13733.0,60,23.05,1,23.05,23.05,23.05,9
13735.0,211,92.72,1,92.72,92.72,92.72,38
13736.0,368,227.28,1,227.28,227.28,227.28,105
13740.0,91,78.47,1,78.47,78.47,78.47,18
13748.0,90,14.55,1,14.55,14.55,14.55,7
13753.0,272,32.1,1,32.1,32.1,32.1,14
13756.0,46,12.75,1,12.75,12.75,12.75,6
13758.0,550,55.925,2,111.85,57.4,54.45,36
13767.0,414,45.866666666666674,3,137.6,59.95,35.550000000000004,23
13768.0,367,45.519999999999996,2,91.04,50.14,40.9,28
13769.0,59,33.1,1,33.1,33.1,33.1,9
13770.0,63,10.29,1,10.29,10.29,10.29,5
13777.0,52,3.525,2,7.05,6.0,1.05,2
13781.0,140,62.04,1,62.04,62.04,62.04,18
13782.0,22,27.15,1,27.15,27.15,27.15,7
13786.0,245,44.63,1,44.63,44.63,44.63,17
13798.0,112,9.75,3,29.25,14.4,2.95,5
13800.0,149,34.13,1,34.13,34.13,34.13,16
13807.0,42,18.05,1,18.05,18.05,18.05,6
13813.0,127,20.0,1,20.0,20.0,20.0,10
13819.0,470,45.2,2,90.4,55.5,34.9,30
