Customer ID,TotItem,avgSpent,Nsessions,TotSpent,Max,Min,DistinctItem,MaxItem,MinItem,avgItemSession,avgSpentMonth,NSessionsMonth,MeanItemMonth,MaxSessionsMonth,MeanTimeGap
12347.0,1652,51.73166666666666,6,310.39,92.67,13.54,82,548,158,275.3333333333333,25.86583333333333,0.5,137.66666666666666,10,55.6
12348.0,44,0.85,2,1.7,0.85,0.85,2,24,20,22.0,0.1416666666666666,0.1666666666666666,3.6666666666666665,5,99.0
12349.0,547,200.75,1,200.75,200.75,200.75,64,547,547,547.0,16.729166666666668,0.0833333333333333,45.583333333333336,11,0.0
12350.0,196,25.3,1,25.3,25.3,25.3,16,196,196,196.0,2.1083333333333334,0.0833333333333333,16.333333333333332,2,0.0
12352.0,502,30.64428571428571,7,214.51,53.2,12.55,50,119,21,71.71428571428571,17.875833333333333,0.5833333333333334,41.833333333333336,9,44.666666666666664
12353.0,14,4.4,1,4.4,4.4,4.4,2,14,14,14.0,0.3666666666666667,0.0833333333333333,1.1666666666666667,5,0.0
12354.0,389,141.04,1,141.04,141.04,141.04,45,389,389,389.0,11.753333333333332,0.0833333333333333,32.416666666666664,4,0.0
12355.0,80,29.450000000000003,1,29.450000000000003,29.450000000000003,29.450000000000003,9,80,80,80.0,2.454166666666667,0.0833333333333333,6.666666666666667,9,0.0
12356.0,548,34.245000000000005,2,68.49,43.25,25.24,33,354,194,274.0,5.7075000000000005,0.1666666666666666,45.66666666666666,8,198.0
12357.0,1603,239.45,1,239.45,239.45,239.45,97,1603,1603,1603.0,19.95416666666667,0.0833333333333333,133.58333333333334,6,0.0
12358.0,204,33.435,2,66.87,42.68,24.19,10,108,96,102.0,5.572500000000001,0.1666666666666666,17.0,12,117.0
12359.0,1476,173.84,4,695.36,305.62,29.26,175,582,136,369.0,57.946666666666665,0.3333333333333333,123.0,12,90.0
12360.0,1094,83.33666666666666,3,250.01,121.7,49.18,99,484,234,364.6666666666667,20.834166666666665,0.25,91.16666666666669,10,74.0
12361.0,90,18.35,1,18.35,18.35,18.35,9,90,90,90.0,1.5291666666666668,0.0833333333333333,7.5,2,0.0
12362.0,2062,66.983,10,669.83,121.95,28.7,182,337,137,206.2,55.81916666666667,0.8333333333333334,171.83333333333334,11,29.555555555555557
