Customer ID,TotItem,avgSpent,Nsessions,TotSpent,Max,Min,DistinctItem,MaxItem,MinItem,avgSpentItem,avgSpentMonth
12346.0,44,31.22666666666667,6,187.36,142.31,4.5,25,19,5,7.333333333333333,15.61333333333333
12347.0,759,74.15,2,148.3,87.69,60.61,67,506,253,379.5,12.358333333333334
12348.0,469,8.295,2,16.59,14.39,2.2,20,373,96,234.5,1.3824999999999996
12349.0,914,138.495,2,276.99,163.76,113.23,77,459,455,457.0,23.082499999999996
12351.0,260,36.71,1,36.71,36.71,36.71,20,260,260,260.0,3.0591666666666666
12352.0,187,20.925,2,41.85,29.4,12.45,17,110,77,93.5,3.4874999999999994
12353.0,192,38.78,1,38.78,38.78,38.78,20,192,192,192.0,3.2316666666666674
12355.0,661,39.98333333333333,6,239.9,103.7,8.5,70,253,28,110.16666666666667,19.991666666666664
12356.0,622,29.816666666666666,3,89.45,40.13,11.45,46,383,48,207.33333333333334,7.454166666666668
12357.0,1737,279.78000000000003,1,279.78000000000003,279.78000000000003,279.78000000000003,114,1737,1737,1737.0,23.314999999999998
12358.0,297,48.17,2,96.34,75.74000000000002,20.6,32,232,65,148.5,8.028333333333334
12359.0,484,61.355,4,245.42,69.39,42.85,69,246,52,121.0,20.45166666666667
12360.0,987,38.77333333333333,3,116.32,67.07,14.6,68,535,100,329.0,9.693333333333333
12361.0,141,11.3,3,33.9,13.5,8.25,13,60,37,47.0,2.8250000000000006
12368.0,146,30.7,1,30.7,30.7,30.7,10,146,146,146.0,2.558333333333333
12369.0,1106,50.80333333333334,3,152.41,124.81,10.05,86,901,85,368.6666666666667,12.700833333333335
12370.0,904,55.818000000000005,5,279.09000000000003,188.38,3.2,106,624,20,180.8,23.257499999999997
12371.0,836,100.61666666666667,3,301.85,201.02,35.17,90,587,80,278.6666666666667,25.154166666666654
12373.0,313,40.6,2,81.2,42.15,39.05,29,204,109,156.5,6.766666666666668
12374.0,595,42.0,2,84.0,49.0,35.0,34,390,205,297.5,6.999999999999999
12376.0,57,18.55,1,18.55,18.55,18.55,7,57,57,57.0,1.5458333333333332
12377.0,1507,78.60000000000002,3,235.8,95.9,49.33,100,604,320,502.3333333333333,19.650000000000002
12378.0,638,173.81,1,173.81,173.81,173.81,68,638,638,638.0,14.48416666666666
12379.0,401,40.475,2,80.95,45.11,35.84,35,243,158,200.5,6.745833333333334
12380.0,1632,92.5875,4,370.35,119.59,51.25,107,525,172,408.0,30.862500000000008
12383.0,615,33.26,1,33.26,33.26,33.26,34,615,615,615.0,2.7716666666666665
12385.0,534,166.15,1,166.15,166.15,166.15,58,534,534,534.0,13.845833333333324
12386.0,94,21.45,1,21.45,21.45,21.45,7,94,94,94.0,1.7874999999999996
12387.0,132,7.91,1,7.91,7.91,7.91,8,132,132,132.0,0.6591666666666667
12388.0,503,66.89500000000001,2,133.79,71.42,62.37000000000001,36,266,237,251.5,11.149166666666668
12389.0,564,38.62,3,115.86,51.26,15.6,40,314,67,188.0,9.655000000000001
12391.0,799,96.6525,4,386.61,167.81,19.05,139,366,6,199.75,32.2175
12392.0,69,16.35,1,16.35,16.35,16.35,5,69,69,69.0,1.3625
12393.0,432,41.25,2,82.5,48.4,34.1,35,288,144,216.0,6.875
12395.0,1166,41.163999999999994,5,205.82,105.77,7.1,85,628,68,233.2,17.151666666666667
12396.0,697,93.63,2,187.26,120.06,67.2,92,586,111,348.5,15.604999999999999
12399.0,525,16.62666666666667,3,49.88,20.05,14.69,31,205,150,175.0,4.156666666666667
12400.0,91,32.05,1,32.05,32.05,32.05,11,91,91,91.0,2.670833333333333
12402.0,483,21.48,5,107.4,26.6,13.95,38,166,62,96.6,8.95
12403.0,18,3.75,1,3.75,3.75,3.75,1,18,18,18.0,0.3125
12406.0,730,45.42333333333333,3,136.27,67.03,19.1,35,366,88,243.33333333333334,11.355833333333331
12408.0,537,26.59333333333333,3,79.78,42.37,17.97,36,230,99,179.0,6.648333333333333
12409.0,832,78.11500000000002,2,156.23,104.04,52.19,41,448,384,416.0,13.01916666666667
12410.0,126,27.37,1,27.37,27.37,27.37,12,126,126,126.0,2.2808333333333333
12411.0,132,64.75,1,64.75,64.75,64.75,21,132,132,132.0,5.395833333333336
12412.0,806,30.506666666666664,3,91.52,42.64,7.16,42,350,124,268.6666666666667,7.626666666666668
12413.0,25,38.15,1,38.15,38.15,38.15,7,25,25,25.0,3.179166666666667
12414.0,120,3.12,1,3.12,3.12,3.12,5,120,120,120.0,0.26
12415.0,1267,59.0175,4,236.07,167.66,17.35,91,863,55,316.75,19.672499999999996
12416.0,132,16.88,1,16.88,16.88,16.88,11,132,132,132.0,1.4066666666666663
12417.0,950,31.65,10,316.5,58.04,13.22,105,198,26,95.0,26.375
12418.0,626,59.98333333333333,3,179.95,68.56,52.23,56,280,145,208.66666666666666,14.995833333333337
12419.0,217,16.720000000000002,2,33.44,30.49,2.95,19,205,12,108.5,2.786666666666667
12421.0,165,16.88,2,33.76,27.11,6.65,16,137,28,82.5,2.813333333333334
12422.0,929,29.2225,8,233.78,53.96,6.7,88,246,30,116.125,19.481666666666666
12423.0,597,39.81,3,119.43,48.8,27.19,49,332,80,199.0,9.9525
12424.0,767,48.965,2,97.93,73.33,24.6,49,561,206,383.5,8.160833333333334
